image_id,file_name,complexity,entities,actions,structure_who,structure_what,structure_where,structure_color,structure_shape,structure_sound,structure_size,structure_number,structure_movement,structure_mood,question_who,question_what,question_where,question_color,question_shape,question_sound,question_size,question_number,question_movement,question_mood,question_who_easy,question_who_medium,question_who_hard,question_what_easy,question_what_medium,question_what_hard,question_where_easy,question_where_medium,question_where_hard,question_color_easy,question_color_medium,question_color_hard,question_shape_easy,question_shape_medium,question_shape_hard,question_sound_easy,question_sound_medium,question_sound_hard,question_size_easy,question_size_medium,question_size_hard,question_number_easy,question_number_medium,question_number_hard,question_movement_easy,question_movement_medium,question_movement_hard,question_mood_easy,question_mood_medium,question_mood_hard
001,img_001.png,1,cat; window; curtain; clouds,cat sleeping,a cat,cat is sleeping,on a windowsill,orange; blue; yellow,rectangular window; round clouds,quiet or soft purring,cat is small; window is large,one cat; two clouds,stillness,calm and peaceful,Who is sleeping in the picture?,What is the cat doing?,Where is the cat sleeping?,What colors do you see?,What shapes can you find?,What sounds might you hear?,What is big and what is small?,How many clouds are outside?,How can you tell the cat is still?,What mood does this picture give you?,What animal is in the picture?,Who is sleeping in the picture?,"Who is sleeping, and why might they be tired?",What is the cat doing on the windowsill?,What is the cat doing?,"What is the cat doing, and why do you think it chose that spot?",Where is the cat lying down?,Where is the cat sleeping?,"Where is the cat, and why might it like that spot?",What color is the cat?,What colors do you see?,"What colors do you see, and how do they make the picture feel?",What shape is the window?,What shapes can you find?,"What shapes can you find, and how do they fit together in the picture?",What sound might the cat make?,What sounds might you hear?,"What sounds might you hear, and how do they add to the scene's mood?",What size is the cat?,What is big and what is small?,"How does the size of the cat compare to the window, and what does that tell you?",How many clouds do you see?,How many clouds are outside?,"How many clouds are there, and what might that tell you about the weather?",What is the cat doing with its body?,How can you tell the cat is still?,"How can you tell the cat is still, and what might it be dreaming about?",How does the picture make you feel?,What mood does this picture give you?,"What mood does this picture give you, and why do you think it feels that way?"
002,img_002.png,2,dog; ball; trees; grass,dog playing; ball in air,a dog,dog playing with a ball,a grassy park,green; brown; blue; red,round ball; tree shapes,barking; ball bouncing,dog bigger than ball,one dog; one ball; two trees,dog jumping; ball flying,happy and playful,Who is playing in the park?,What is the dog doing?,Where is the dog playing?,What colors do you see here?,What shape is the ball?,What sounds might the dog make?,"What is bigger, the dog or the ball?",How many trees are in the picture?,How is the dog moving?,What mood does this scene show?,Who is in the picture with the ball?,Who is playing in the park?,"Who is playing, and why might they be happy?",What is the dog playing with?,What is the dog doing?,"What is the dog doing, and why might it enjoy this?",Where is the dog with the ball?,Where is the dog playing?,"Where is the dog playing, and why is this a good place for it?",What color is the ball?,What colors do you see here?,"What colors do you see, and how do they make the park feel?",What shape is the ball?,What shape is the ball?,"What shape is the ball, and how does it help the dog play?",What sound might the dog make?,What sounds might the dog make?,"What sounds might you hear, and how do they show the dog is having fun?",How big is the dog compared to the ball?,"What is bigger, the dog or the ball?","What is bigger, the dog or the ball, and why does that matter for playing?",How many balls are in the picture?,How many trees are in the picture?,"How many trees are there, and why might they be important for the scene?",What is the dog doing with the ball?,How is the dog moving?,"How is the dog moving, and what does this tell you about its energy?",How does this picture make you feel?,What mood does this scene show?,"What mood does this scene show, and why might the dog feel that way?"
003,img_003.png,2,boy;girl;sandcastle;shovel;bucket,building;looking sad;sitting,boy and girl,building a sandcastle,on the beach,yellow;blue;red,castle shape;round bucket,waves;children playing,small sandcastle;small bucket,two children;one sandcastle,still;no movement,sad,Who is in the picture?,What are the children doing?,Where are the children sitting?,What colors do you see?,What shape is the sandcastle?,What sounds might you hear at the beach?,What is small in this picture?,How many children are there?,Are the children moving or still?,Why do you think they look sad?,Who is sitting on the sand?,Who is in the picture?,"Who do you see, and how do you think they know each other?",What is the boy doing with the sand?,What are the children doing?,"What are the children doing, and why might they be building that?",Where are the children playing?,Where are the children sitting?,"Where are the children sitting, and why do you think they chose that spot?",What color is the bucket?,What colors do you see?,"What colors do you see, and how do they make the scene feel?",What shape is the bucket?,What shape is the sandcastle?,"What shape is the sandcastle, and why might it be built that way?",What sounds might you hear from the children?,What sounds might you hear at the beach?,"What sounds might you hear at the beach, and how do they make you feel?",What is the size of the bucket?,What is small in this picture?,"What is small in this picture, and why might it be important?",How many buckets do you see?,How many children are there?,"How many children are there, and what does that tell you about their activity?",What is the boy doing with his hands?,Are the children moving or still?,"Are the children moving or still, and what might that tell you about their mood?",How do the children look?,Why do you think they look sad?,"Why do you think they look sad, and what might have happened before?"
004,img_004.png,1,bird; tree branch; leaves,bird sitting,yellow bird,bird sitting on branch,on a tree branch,yellow; brown; green; blue,oval body; round eye,bird chirping,bird small; branch larger,one bird; three leaves,bird still,calm and peaceful,What does the bird look like?,What is the bird doing?,Where is the bird sitting?,What colors do you see?,What shape is the bird's body?,What sounds might the bird make?,"What is bigger, the bird or branch?",How many leaves are on the branch?,Is the bird moving or still?,What mood does this picture give you?,What color is the bird?,What does the bird look like?,"What does the bird look like, and why might it be sitting there?",What is the bird sitting on?,What is the bird doing?,"What is the bird doing, and why do you think it's doing that?",Where is the bird?,Where is the bird sitting?,"Where is the bird sitting, and why do you think it chose that spot?",What color is the bird?,What colors do you see?,"What colors do you see, and how do they make you feel?",What shape is the bird's eye?,What shape is the bird's body?,"What shape is the bird's body, and why do you think it has that shape?",What sound might the bird make?,What sounds might the bird make?,"What sounds might the bird make, and why would it make them?",How big is the bird?,"What is bigger, the bird or branch?","What is bigger, the bird or the branch, and why does it matter?",How many leaves do you see?,How many leaves are on the branch?,"How many leaves are on the branch, and why might there be that number?",What is the bird doing?,Is the bird moving or still?,"Is the bird moving or still, and what might it be thinking?",How does the picture make you feel?,What mood does this picture give you?,"What mood does this picture give you, and why do you think that is?"
005,img_005.png,2,fox; trees; path; bushes,walking,a fox,fox is walking,forest path,orange; green; brown,round bushes; tall trees,soft footsteps,fox is small; trees are tall,one fox; several trees,fox is moving,calm,Who is walking on the path?,What is the fox doing?,Where is the fox walking?,What colors do you see here?,What shapes are the bushes?,What sounds might the fox make?,What is small and what is tall?,How many trees can you count?,How can you tell the fox is moving?,What mood does the picture give you?,Who is on the path?,Who is walking on the path?,"Who is on the path, and why might they be there?",What is the animal doing?,What is the fox doing?,"What is the fox doing, and why might it be doing that?",Where is the animal?,Where is the fox walking?,"Where is the fox, and why do you think it's there?",What color is the fox?,What colors do you see here?,"What colors do you see, and how do they make you feel?",What shape are the trees?,What shapes are the bushes?,"What shapes do you notice, and how do they fit together?",What sound might you hear from the fox?,What sounds might the fox make?,"What sounds might you hear, and how would they make you feel?",How big is the fox?,What is small and what is tall?,How does the size of the fox compare to the trees?,How many animals do you see?,How many trees can you count?,"How many trees are there, and why might there be that many?",What is the fox doing with its legs?,How can you tell the fox is moving?,"How can you tell the fox is moving, and where might it be going?",How does the picture make you feel?,What mood does the picture give you?,"What mood does the picture give you, and why do you think that is?"
006,img_006.png,2,girl; easel; paintbrush; palette,painting; smiling,girl with paintbrush,girl painting on canvas,art studio or room,yellow; red; green; blue,circle; curved line,quiet; brush strokes,girl is bigger than easel,one girl; one easel,painting motion,happy and creative,Who is in the picture?,What is the girl doing?,Where might this be happening?,What colors do you see?,What shapes are on the canvas?,What sounds might you hear?,"What is bigger, the girl or the easel?",How many people are there?,How is the girl moving?,What mood does the picture show?,What is the girl holding?,Who is in the picture?,"Who is in the picture, and what might she be feeling?",What is the girl using to paint?,What is the girl doing?,"What is the girl doing, and why do you think she enjoys it?",Where is the girl standing?,Where might this be happening?,"Where might this be happening, and why is this a good place for painting?",What color is the paintbrush?,What colors do you see?,"What colors do you see, and how do they make the painting look?",What shape is the canvas?,What shapes are on the canvas?,"What shapes are on the canvas, and how do they make the picture interesting?",What sound might the paintbrush make?,What sounds might you hear?,"What sounds might you hear, and how do they make the place feel?",How big is the easel?,"What is bigger, the girl or the easel?","What is bigger, the girl or the easel, and why might that be important?",How many paintbrushes are there?,How many people are there?,"How many people are there, and what does that tell you about the scene?",What is the girl doing with her hand?,How is the girl moving?,"How is the girl moving, and what does that say about her focus?",How does the girl look?,What mood does the picture show?,"What mood does the picture show, and how can you tell?"
007,img_007.png,1,robot; flower; bench,sitting; holding,robot,robot holding a flower,on a bench,gray; red; green,square head; round flower,quiet scene,robot bigger than flower,one robot; one flower,still,sad,Who is sitting on the bench?,What is the robot holding?,Where is the robot sitting?,What colors can you see?,What shape is the robot's head?,What sounds might you hear here?,"What is bigger, the robot or the flower?",How many flowers are there?,Is anything moving in the picture?,Why do you think the robot looks sad?,Who is on the bench?,Who is sitting on the bench?,"Who is sitting on the bench, and why might they be there?",What is in the robot's hand?,What is the robot holding?,"What is the robot holding, and why might it be important?",Where is the robot?,Where is the robot sitting?,"Where is the robot sitting, and why might it choose that spot?",What color is the flower?,What colors can you see?,"What colors do you see, and how do they make the picture feel?",What shape is the flower?,What shape is the robot's head?,"What shape is the robot's head, and how does it compare to the flower?",What sounds might the robot hear?,What sounds might you hear here?,"What sounds might you hear here, and how do they affect the mood?",How big is the robot?,"What is bigger, the robot or the flower?","What is bigger, the robot or the flower, and why does it matter?",How many things is the robot holding?,How many flowers are there?,"How many flowers are there, and what does that tell you about the scene?",What is the robot doing?,Is anything moving in the picture?,"Is anything moving in the picture, and what does that tell you about the scene?",How does the robot look?,Why do you think the robot looks sad?,"Why do you think the robot looks sad, and what might help it feel better?"
008,img_008.png,2,boy; butterflies; flowers; net,running; catching; flying,boy with a net,boy chasing butterflies,grassy field with flowers,orange; yellow; green,round flowers; butterfly wings,laughter; fluttering wings,boy bigger than butterflies,two butterflies; three flowers,boy running; butterflies flying,playful and happy,Who is in the picture?,What is the boy doing?,Where is the boy playing?,What colors do you see?,What shapes are the flowers?,What sounds might you hear?,"What is bigger, the boy or butterflies?",How many butterflies are there?,How are the butterflies moving?,What mood does the picture show?,What is the boy holding?,Who is in the picture?,"Who is in the picture, and what might he be thinking?",What is the boy trying to catch?,What is the boy doing?,"What is the boy doing, and why do you think he is doing it?",Where do you see the flowers?,Where is the boy playing?,"Where is the boy playing, and how does this place feel to you?",What color are the butterflies?,What colors do you see?,"What colors do you see, and how do they make the picture feel?",What shape are the butterfly wings?,What shapes are the flowers?,"What shapes are the flowers, and how do they compare to the butterflies?",What sound might the boy make?,What sounds might you hear?,"What sounds might you hear, and how would they make you feel?",What size is the boy?,"What is bigger, the boy or butterflies?","What is bigger, the boy or butterflies, and why does size matter here?",How many flowers do you see?,How many butterflies are there?,"How many butterflies are there, and why might that be important?",How is the boy moving?,How are the butterflies moving?,"How are the butterflies moving, and why do you think they move that way?",How does the boy seem to feel?,What mood does the picture show?,"What mood does the picture show, and how can you tell?"
009,img_009.png,1,boat;water;sky;hills,floating,wooden boat,boat floating on water,lake with hills,blue;green;brown,oval;rectangular,gentle water splashes,boat smaller than lake,one boat,gentle floating,calm and peaceful,What is floating on the water?,What is the boat doing?,Where is the boat located?,What colors do you see here?,What shape is the boat?,What sounds might you hear near the boat?,How does the boat's size compare to the lake?,How many boats are in the picture?,How is the boat moving on the water?,What mood does this scene give you?,What is on the water?,What is floating on the water?,"What is floating on the water, and who might be using it?",What is the boat on the water doing?,What is the boat doing?,"What is the boat doing, and why might it be moving that way?",Where do you see the boat?,Where is the boat located?,"Where is the boat located, and what else can you see around it?",What color is the water?,What colors do you see here?,"What colors do you see here, and how do they make you feel?",What shape is the boat?,What shape is the boat?,"What shape is the boat, and how does it help the boat float?",What sound might the water make?,What sounds might you hear near the boat?,"What sounds might you hear near the boat, and what do they tell you about the scene?",What size is the boat?,How does the boat's size compare to the lake?,"How does the boat's size compare to the lake, and why is that important?",What is the number of boats in the picture?,How many boats are in the picture?,"How many boats are in the picture, and what does that tell you about the place?",How is the boat moving?,How is the boat moving on the water?,"How is the boat moving on the water, and what might cause it to move like that?",How does this picture make you feel?,What mood does this scene give you?,"What mood does this scene give you, and why do you think it feels that way?"
010,img_010.png,1,boy;raindrops;window,looking;resting head,a boy,looking out the window,inside by a window,yellow;blue;brown,raindrop shapes,rain falling,boy larger than raindrops,many raindrops,raindrops falling,sad or thoughtful,Who is in the picture?,What is the boy doing?,Where is the boy sitting?,What colors do you see?,What shapes are on the window?,What sounds might you hear outside?,"What is bigger, the boy or raindrops?",How many raindrops do you see?,How do you know the rain is falling?,Why might the boy feel sad?,What is the boy doing in the picture?,Who is in the picture?,Who do you think the boy might be thinking about?,What is the boy looking at?,What is the boy doing?,What might the boy be thinking while looking out the window?,Where is the boy in the room?,Where is the boy sitting?,Why do you think the boy is sitting by the window?,What color is the boy's shirt?,What colors do you see?,How do the colors in the picture make you feel?,What shape are the raindrops?,What shapes are on the window?,How do the raindrop shapes change the way the window looks?,What sound does rain make?,What sounds might you hear outside?,How might the sound of rain make the boy feel?,How big is the boy compared to the raindrops?,"What is bigger, the boy or raindrops?",Why do you think the boy seems bigger than the raindrops?,How many boys are in the picture?,How many raindrops do you see?,How does seeing many raindrops make the scene feel?,What are the raindrops doing?,How do you know the rain is falling?,"How can you tell the rain is falling, and what does it mean?",How might the boy be feeling?,Why might the boy feel sad?,What about the scene makes you think the boy might feel sad?
